            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,
Personal Income in Australia Table 2g. Total Income Distribution (2017-18),,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 16/12/2020,,,,,,,,,,,,,,,,,,
Table 2g.5,Total Income by Local Government Area (2017-18),,,,,,,,,,,,,,,,,
,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
52380,Cue,96,54,"4,023,011","31,601","41,906",np,np,np,np,np,np,np,np,40.6,19.8,22.9,16.7
52450,Cunderdin,761,44,"49,261,238","53,461","64,732",4.54,1.86,0.41,0.18,0.442,5.6,17.8,29.2,21.7,25.4,25,27.9
52520,Dalwallinu,984,44,"61,467,103","52,549","62,467",5.73,1.81,0.32,0.08,0.565,6,21.6,34.9,24.9,22.5,25.3,27.3
52590,Dandaragan,"2,052",49,"120,709,617","42,129","58,825",6.52,2.22,0.34,0.09,0.531,7.1,21.6,34.5,30.2,26.6,19.2,24
52660,Dardanup,"8,402",43,"521,310,847","50,706","62,046",5.49,1.97,0.36,0.16,0.449,5.3,17,28.4,24.8,24.5,22.9,27.8
52730,Denmark,"3,538",52,"163,038,627","32,864","46,082",7.22,2.22,0.31,0.1,0.534,8.1,23,35.5,37.2,29.3,18.1,15.5
52800,Derby-West Kimberley,"2,893",39,"163,378,687","48,257","56,474",6.84,1.94,0.28,0.13,0.457,5.1,16.5,27.6,28.8,22.6,22.7,25.9
52870,Donnybrook-Balingup,"3,516",49,"178,496,059","38,563","50,767",7.84,2.24,0.29,0.08,0.523,5.7,19.4,31.9,34.5,25.3,18.8,21.4
52940,Dowerin,423,47,"27,913,384","45,668","65,989",8.58,2.21,0.26,0.06,0.55,np,23.9,37.2,29.5,24.7,19.5,26.4
53010,Dumbleyung,434,44,"31,273,243","59,652","72,058",4.86,1.89,0.39,0.14,0.446,np,17.3,28.5,20.4,20.6,23.8,35.2
53080,Dundas,328,50,"17,808,537","48,890","54,294",5.53,1.81,0.33,0.14,0.435,np,14.6,25.7,28,23.1,27.7,21.2
53150,East Fremantle,"4,992",48,"475,199,774","62,240","95,192",7.23,2.22,0.31,0.13,0.55,10.3,27.1,39.5,23.4,19,18.6,39
53220,East Pilbara,"2,769",37,"239,177,627","78,327","86,377",5.17,1.82,0.35,0.16,0.402,3.6,13.3,23.5,17.8,16,19.1,47.2
53290,Esperance,"8,302",45,"550,299,066","49,190","66,285",5.25,2.01,0.38,0.17,0.49,7.3,22.2,33.9,24.7,25.8,22.6,26.9
53360,Exmouth,"1,759",41,"115,439,222","50,117","65,628",4.59,2.06,0.45,0.24,0.449,5.9,18.3,29.9,20.7,29,22.9,27.4
53430,Fremantle,"19,508",44,"1,515,684,234","55,294","77,696",6.1,2.05,0.34,0.15,0.516,10.1,24.4,36.1,24.7,21.4,20.6,33.3
53570,Gingin,"3,089",48,"161,935,606","37,572","52,423",6.8,2.17,0.32,0.1,0.522,7.3,21.8,34.5,34.3,26.7,19.9,19.1
53640,Gnowangerup,778,44,"62,309,347","60,777","80,089",5.92,2,0.34,0.15,0.493,5.1,19.9,33.1,22.1,20,26.3,31.6
53710,Goomalling,549,48,"34,114,970","45,930","62,140",5.34,2.14,0.4,0.14,0.488,4.9,20.2,32.7,25.7,28.6,20.8,25
53780,Gosnells,"66,652",40,"3,789,231,689","49,343","56,851",4.76,1.77,0.37,0.16,0.432,5.2,16.9,27.9,25.4,25.1,27.5,22
53800,Greater Geraldton,"21,948",45,"1,392,961,322","51,331","63,466",5.2,1.94,0.37,0.16,0.455,6.6,18.4,29.5,24.2,24.4,23.2,28.2
53920,Halls Creek,870,37,"45,955,827","41,528","52,823",6.1,2.04,0.33,0.16,0.454,5.4,17.1,28.6,31,25.3,22.6,21.1
53990,Harvey,"16,020",44,"1,019,564,533","50,847","63,643",5.74,2.03,0.35,0.14,0.461,5.5,17.5,29,25.4,23.8,21.6,29.2
54060,Irwin,"2,015",51,"124,996,936","44,919","62,033",7.03,2.27,0.32,0.12,0.503,6.3,19.6,32.2,28.5,25.9,18,27.6
54130,Jerramungup,718,45,"53,334,627","51,546","74,282",7.34,2.19,0.3,0.09,0.545,7,22.6,36.4,26.8,21.2,20,32
54170,Joondalup,"100,991",45,"7,005,352,274","53,753","69,366",5.56,1.97,0.35,0.15,0.477,7.2,20.4,32,24.2,22.6,22.5,30.6
54200,Kalamunda,"35,026",44,"2,270,087,047","52,976","64,811",5.03,1.87,0.37,0.16,0.454,6.4,18.8,29.9,23.6,23.6,24.6,28.2
54280,Kalgoorlie/Boulder,"18,130",39,"1,410,423,903","67,751","77,795",4.53,1.79,0.4,0.19,0.406,5.1,15.2,25.4,17.8,19.2,22.4,40.6
54310,Karratha,"12,164",37,"1,114,084,928","78,594","91,589",4.88,1.8,0.37,0.16,0.429,5.3,16.7,27.2,16.8,16.3,18.9,47.9
54340,Katanning,"2,285",44,"124,856,373","45,903","54,642",4.49,1.84,0.41,0.19,0.428,5.4,17.6,28.6,24.2,32.3,23.4,20.1
54410,Kellerberrin,640,49,"41,278,885","47,706","64,498",6.04,1.91,0.32,0.11,0.511,7.3,22.6,35.3,27.1,24.4,24.9,23.6
54480,Kent,305,43,"24,690,806","64,545","80,953",5.95,1.97,0.33,0.15,0.491,np,19,31.7,21.7,18.1,25.7,34.5
54550,Kojonup,"1,396",47,"80,594,542","47,399","57,732",5.81,1.92,0.33,0.1,0.475,5,18.1,30.2,27.1,25.4,23.7,23.8
54620,Kondinin,605,47,"43,383,585","51,370","71,708",5.92,2.2,0.37,0.18,0.489,5.9,19.6,32.1,22.7,26.5,20.7,30.1
54690,Koorda,243,50,"11,163,983","39,379","45,942",12.28,2.18,0.18,0.05,0.591,np,18.1,31.5,36.9,19.9,21.6,21.6
54760,Kulin,510,46,"35,057,881","57,937","68,741",5,1.85,0.37,0.2,0.434,4.3,16.8,28.3,21.4,21.8,26.5,30.4
54830,Kwinana,"22,119",37,"1,350,751,884","54,415","61,067",4.12,1.69,0.41,0.19,0.403,4.8,15.8,26.2,21,24.4,29.3,25.2
54900,Lake Grace,957,45,"78,323,821","58,754","81,843",6.3,2.1,0.33,0.14,0.512,6.2,21.5,34.1,22.7,19.9,20.6,36.8
